UF,Sexo,Idade,Raca,Anos de Estudo,Renda,Altura
11,Masculino,23,Negro,12,800,1.603.807.616
11,Feminino,23,Branco,12,1150,1.739.789.827
11,Feminino,35,Negro,15,880,1.760.443.822
11,Masculino,46,Branco,6,3500,1.783.157.945
11,Feminino,47,Negro,9,150,1.690.630.954
11,Feminino,34,Negro,12,790,1.637.905.598
11,Masculino,57,Negro,12,3150,1.570.078.218
11,Feminino,60,Negro,12,1700,1.608.495.442
11,Feminino,50,Pardo,14,1800,1.780.328.883
11,Masculino,26,Negro,12,1150,1.793.202.625
11,Feminino,46,Negro,12,3000,1.787.003.282
11,Feminino,49,Negro,6,2500,1.712.911.548
11,Feminino,52,Branco,6,1200,1.736.442.076
11,Masculino,38,Negro,12,2000,1.750.826.666
11,Masculino,45,Branco,12,2000,1.780.450.392
11,Masculino,34,Branco,16,6000,1.711.825.037
11,Feminino,43,Negro,10,1050,1.789.011.804
11,Masculino,53,Negro,16,7000,1.673.665.133
11,Masculino,57,Branco,12,2000,1.715.137.632
11,Feminino,62,Negro,12,1150,176.597.309
11,Masculino,69,Negro,1,3030,1.746.351.196
11,Feminino,41,Negro,16,4000,1.660.873.129
11,Masculino,34,Negro,5,788,1.746.048.026
11,Masculino,25,Negro,12,1000,1.726.496.158
11,Masculino,33,Negro,9,800,1.778.913.561
11,Feminino,44,Negro,5,788,1.668.637.941
11,Masculino,33,Branco,16,1600,1.783.770.601
11,Masculino,65,Branco,12,1700,1.873.445.247
11,Masculino,33,Negro,14,2000,1.890.250.314
11,Masculino,32,Negro,12,2400,1.660.204.145
11,Masculino,43,Negro,5,3000,1.636.361.741
11,Masculino,30,Negro,1,920,1.685.590.822
11,Masculino,26,Branco,10,1300,168.402.625
11,Masculino,52,Branco,15,2000,167.104.419
11,Masculino,62,Negro,1,1300,1.632.129.706
11,Masculino,64,Indigena,5,600,1.712.121.503
11,Masculino,31,Negro,7,1200,1.763.447.989
11,Masculino,63,Branco,3,1000,1.694.500.204
11,Feminino,40,Branco,9,1000,1.705.147.683
11,Masculino,47,Pardo,9,1500,1.672.258.066
11,Masculino,34,Branco,7,900,1.645.452.653
11,Masculino,33,Negro,6,900,1.814.785.789
11,Masculino,63,Negro,6,0,1.652.746.296
11,Feminino,40,Negro,2,300,1.757.341.995
11,Masculino,41,Negro,6,1600,1.611.286.043
11,Masculino,28,Branco,10,1500,1.693.976.403
11,Feminino,32,Negro,12,750,1.684.819.452
11,Masculino,44,Branco,1,800,1.701.974.845
11,Feminino,38,Branco,12,3600,1.599.083.153
11,Masculino,41,Branco,4,1500,1.646.862.718
11,Masculino,62,Negro,8,3000,1.752.071.058
11,Masculino,37,Negro,7,2300,1.576.576.371
11,Masculino,41,Branco,12,1500,1.697.451.547
11,Masculino,41,Negro,12,4500,1.573.698.003
11,Feminino,46,Branco,16,4800,1.727.453.392
11,Feminino,46,Negro,12,900,1.663.525.091
11,Feminino,45,Branco,7,400,1.450.378.572
11,Masculino,60,Negro,2,1050,175.151.196
11,Feminino,38,Negro,7,850,1.599.067.442
11,Feminino,32,Negro,12,650,162.281.412
11,Feminino,39,Negro,6,300,1.523.482.727
11,Feminino,49,Negro,5,900,1.677.850.056
11,Feminino,34,Branco,11,1000,177.007.179
11,Feminino,38,Negro,8,970,1.799.870.428
11,Feminino,36,Pardo,12,1000,1.704.955.017
11,Feminino,45,Branco,7,600,1.674.563.104
11,Masculino,49,Pardo,10,1000,1.810.539.927
11,Feminino,44,Pardo,10,800,1.741.427.298
11,Masculino,73,Negro,1,0,1.799.846.494
11,Masculino,56,Branco,6,200,1.492.688.377
11,Masculino,33,Negro,4,1400,166.788.028
11,Masculino,27,Branco,12,2500,1.827.358.586
11,Masculino,49,Branco,4,3000,1.774.589.199
11,Masculino,57,Negro,2,1100,1.709.833.981
11,Masculino,41,Negro,17,2000,17.085.447
11,Masculino,39,Branco,11,1400,1.827.305.281
11,Masculino,23,Negro,5,788,170.508.676
11,Masculino,39,Negro,9,1400,1.785.680.605
11,Masculino,35,Pardo,4,1000,1.645.685.159
11,Masculino,30,Negro,4,600,1.754.153.474
11,Masculino,35,Negro,4,788,1.772.827.632
11,Masculino,36,Branco,4,500,1.718.663.746
11,Masculino,37,Negro,4,1500,17.149.494
11,Masculino,60,Pardo,1,1400,1.650.202.938
11,Masculino,38,Branco,9,600,1.727.064.502
11,Masculino,43,Branco,9,800,1.765.924.712
11,Masculino,42,Branco,9,1200,1.742.593.838
11,Masculino,51,Branco,9,2500,176.866.907
11,Feminino,33,Negro,12,1200,1.764.367.928
11,Masculino,46,Branco,1,2000,1.713.904.438
11,Feminino,29,Pardo,15,1300,1.745.392.257
11,Masculino,40,Negro,9,800,159.311.812
11,Feminino,46,Negro,1,550,1.591.341.012
11,Masculino,25,Branco,6,975,1.864.178.568
11,Masculino,32,Negro,5,1500,1.790.890.146
11,Masculino,40,Branco,12,1200,167.198.338
11,Masculino,26,Pardo,9,1145,1.717.498.162
